iter	MultiClass
0	2.265418489
1	2.253782242
2	2.245974551
3	2.24085859
4	2.23766526
5	2.234192025
6	2.231254555
7	2.228387441
8	2.226082159
9	2.223735625
10	2.220986698
11	2.217574708
12	2.213597091
13	2.211325468
14	2.209054857
15	2.206769315
16	2.205257177
17	2.202106616
18	2.19920888
19	2.197648405
20	2.195798156
21	2.191944293
22	2.190469864
23	2.1889638
24	2.187499241
25	2.185547508
26	2.183078737
27	2.181341614
28	2.179624737
29	2.177080296
30	2.175238146
31	2.171930171
32	2.169848609
33	2.167946985
34	2.16647534
35	2.163825366
36	2.161436316
37	2.157721139
38	2.155105584
39	2.151817096
40	2.149344276
41	2.14716857
42	2.145839913
43	2.14334457
44	2.140920088
45	2.139291788
46	2.137588071
47	2.135819566
48	2.133860494
49	2.132294197
50	2.129917041
51	2.126595906
52	2.123974783
53	2.121831977
54	2.120205069
55	2.118780622
56	2.116705261
57	2.114815532
58	2.112998816
59	2.110669618
60	2.109556963
61	2.107272559
62	2.104635872
63	2.102645039
64	2.100643449
65	2.099436397
66	2.097658022
67	2.095428156
68	2.093473007
69	2.091920377
70	2.090399635
71	2.088333257
72	2.086874266
73	2.085613561
74	2.084540513
75	2.081902687
76	2.080429523
77	2.079566909
78	2.078041484
79	2.076293858
80	2.074782227
81	2.073170124
82	2.071741249
83	2.070113455
84	2.067848159
85	2.066842682
86	2.064867539
87	2.062184919
88	2.060701126
89	2.058739143
90	2.05697203
91	2.055012325
92	2.053868921
93	2.051759394
94	2.05028661
95	2.048486724
96	2.046636095
97	2.045545964
98	2.043781761
99	2.041993137
