iter	Passed	Remaining
0	201	807511
1	391	781803
2	572	763149
3	761	760947
4	939	750288
5	1120	745738
6	1317	751276
7	1497	747492
8	1677	744076
9	1867	745257
10	2056	745785
11	2244	745993
12	2449	751150
13	2635	750367
14	2819	748998
15	3009	749340
16	3176	744133
17	3368	745208
18	3540	741751
19	3716	739617
20	3905	740040
21	4099	741304
22	4266	737756
23	4443	736163
24	4622	734991
25	4785	731509
26	4935	726311
27	5119	726291
28	5278	722853
29	5448	720973
30	5655	724101
31	5826	722521
32	6025	724392
33	6217	725288
34	6387	723584
35	6553	721621
36	6751	723096
37	6914	720887
38	7097	720895
39	7251	717911
40	7433	717741
41	7591	715416
42	7773	715352
43	7963	716024
44	8146	716001
45	8307	714078
46	8492	714266
47	8662	713195
48	8829	711978
49	8993	710510
50	9193	711882
51	9368	711262
52	9533	709976
53	9709	709496
54	9916	711261
55	10072	709397
56	10258	709619
57	10444	709858
58	10632	710221
59	10798	709078
60	10983	709255
61	11149	708162
62	11321	707504
63	11497	707092
64	11678	707013
65	11863	707124
66	12043	706998
67	12259	708910
68	12430	708171
69	12612	708078
70	12801	708404
71	12966	707421
72	13165	708255
73	13334	707436
74	13527	707926
75	13718	708319
76	13906	708484
77	14085	708244
78	14273	708422
79	14449	708023
80	14626	707687
81	14784	706404
82	14982	707078
83	15150	706325
84	15327	705949
85	15508	705829
86	15698	706059
87	15893	706516
88	16072	706300
89	16229	705069
90	16415	705159
91	16618	705912
92	16798	705732
93	16993	706131
94	17167	705672
95	17359	705945
96	17555	706386
97	17725	705753
98	17901	705380
99	18063	704478
100	18230	703755
101	18432	704415
102	18608	704055
103	18815	704865
104	19017	705473
105	19186	704815
106	19382	705179
107	19564	705048
108	19754	705171
109	19926	704661
110	20100	704240
111	20277	703922
112	20465	703975
113	20644	703708
114	20814	703177
115	21002	703227
116	21191	703307
117	21365	702903
118	21532	702257
119	21712	702036
120	21889	701715
121	22064	701363
122	22234	700824
123	22405	700362
124	22594	700431
125	22755	699627
126	22917	698885
127	23118	699332
128	23285	698760
129	23468	698627
130	23636	698085
131	23820	698026
132	24003	697899
133	24191	697951
134	24375	697853
135	24567	698019
136	24749	697858
137	24903	696939
138	25101	697243
139	25272	696797
140	25450	696540
141	25627	696272
142	25802	695945
143	25995	696094
144	26198	696508
145	26389	696622
146	26562	696238
147	26759	696475
148	26924	695877
149	27100	695574
150	27287	695569
151	27455	695057
152	27642	695033
153	27797	694216
154	27978	694037
155	28168	694107
156	28336	693613
157	28516	693428
158	28704	693410
159	28896	693527
160	29076	693315
161	29241	692781
162	29438	692988
163	29627	692985
164	29813	692941
165	29997	692838
166	30180	692714
167	30362	692553
168	30527	692027
169	30716	692025
170	30887	691632
171	31052	691098
172	31228	690825
173	31402	690491
174	31585	690359
175	31746	689770
176	31924	689533
177	32111	689503
178	32268	688816
179	32434	688329
180	32604	687936
181	32787	687818
182	32982	687955
183	33151	687542
184	33321	687140
185	33511	687165
186	33689	686946
187	33879	686969
188	34072	687037
189	34261	687037
190	34440	686830
191	34620	686642
192	34795	686348
193	34958	685840
194	35144	685762
195	35339	685878
196	35507	685456
197	35671	684972
198	35851	684784
199	36038	684736
200	36216	684517
201	36400	684409
202	36562	683885
203	36757	683981
204	36925	683563
205	37109	683459
206	37286	683227
207	37474	683195
208	37654	682999
209	37847	683063
210	38022	682787
211	38203	682617
212	38371	682215
213	38559	682180
214	38741	682037
215	38924	681900
216	39116	681920
217	39313	682031
218	39495	681875
219	39699	682103
220	39896	682207
221	40056	681683
222	40245	681647
223	40404	681103
224	40585	680926
225	40769	680819
226	40943	680527
227	41111	680141
228	41285	679862
229	41472	679790
230	41635	679324
231	41801	678912
232	41979	678695
233	42169	678677
234	42362	678706
235	42539	678463
236	42730	678461
237	42915	678355
238	43096	678181
239	43280	678059
240	43450	677723
241	43625	677452
242	43813	677391
243	43989	677154
244	44172	677013
245	44358	676912
246	44542	676792
247	44729	676720
248	44905	676471
249	45105	676586
250	45286	676417
251	45480	676425
252	45668	676360
253	45860	676346
254	46045	676233
255	46233	676162
256	46409	675913
257	46602	675909
258	46772	675577
259	46957	675466
260	47142	675346
261	47315	675057
262	47512	675105
263	47704	675092
264	47878	674822
265	48052	674543
266	48248	674575
267	48422	674301
268	48613	674260
269	48807	674271
270	48992	674146
271	49178	674033
272	49367	673967
273	49540	673682
274	49725	673553
275	49915	673504
276	50100	673374
277	50280	673186
278	50460	672990
279	50634	672718
280	50832	672767
281	51017	672638
282	51186	672294
283	51358	672003
284	51538	671807
285	51731	671788
286	51921	671719
287	52118	671745
288	52313	671753
289	52500	671645
290	52687	671535
291	52866	671335
292	53041	671074
293	53220	670868
294	53391	670555
295	53559	670220
296	53761	670293
297	53936	670043
298	54116	669850
299	54298	669678
300	54486	669584
301	54660	669324
302	54836	669083
303	55019	668918
304	55188	668598
305	55359	668299
306	55529	667982
307	55706	667757
308	55901	667745
309	56092	667681
310	56273	667499
311	56460	667386
312	56628	667057
313	56818	666984
314	56993	666731
315	57182	666641
316	57354	666364
317	57527	666091
318	57711	665948
319	57875	665566
320	58056	665388
321	58239	665227
322	58416	665012
323	58595	664802
324	58775	664614
325	58960	664476
326	59141	664301
327	59293	663796
328	59454	663397
329	59636	663232
330	59832	663217
331	60004	662942
332	60179	662696
333	60372	662655
334	60555	662489
335	60730	662255
336	60923	662204
337	61103	662011
338	61283	661822
339	61468	661686
340	61654	661569
341	61840	661436
342	62008	661121
343	62207	661135
344	62391	660991
345	62571	660802
346	62756	660662
347	62950	660623
348	63121	660334
349	63290	660027
350	63463	659766
351	63645	659602
352	63818	659338
353	63996	659124
354	64163	658805
355	64334	658525
356	64514	658339
357	64707	658278
358	64880	658018
359	65048	657713
360	65220	657445
361	65406	657316
362	65589	657162
363	65763	656908
364	65947	656763
365	66122	656526
366	66292	656240
367	66474	656078
368	66661	655955
369	66837	655733
370	67018	655553
371	67213	655513
372	67382	655217
373	67575	655153
374	67772	655129
375	67974	655162
376	68145	654882
377	68314	654590
378	68487	654333
379	68661	654092
380	68855	654040
381	69051	653999
382	69236	653863
383	69411	653628
384	69584	653369
385	69761	653156
386	69948	653037
387	70136	652922
388	70328	652840
389	70518	652748
390	70686	652448
391	70866	652257
392	71034	651961
393	71233	651945
394	71405	651687
395	71577	651431
396	71753	651200
397	71935	651033
398	72118	650877
399	72297	650675
400	72495	650650
401	72674	650457
402	72867	650379
403	73036	650093
404	73214	649893
405	73401	649763
406	73589	649651
407	73772	649489
408	73956	649334
409	74133	649120
410	74333	649104
411	74507	648867
412	74680	648614
413	74859	648419
414	75051	648332
415	75224	648088
416	75409	647946
417	75609	647922
418	75789	647735
419	75996	647777
420	76195	647748
421	76365	647480
422	76532	647181
423	76701	646900
424	76885	646746
425	77076	646647
426	77265	646534
427	77440	646300
428	77637	646255
429	77808	645990
430	77985	645774
431	78163	645569
432	78323	645222
433	78518	645156
434	78720	645149
435	78921	645127
436	79109	645002
437	79287	644796
438	79471	644645
439	79650	644445
440	79814	644129
441	79981	643829
442	80165	643678
443	80353	643548
444	80539	643410
445	80715	643187
446	80905	643080
447	81092	642944
448	81288	642882
449	81475	642749
450	81660	642601
451	81848	642472
452	82029	642292
453	82211	642121
454	82407	642053
455	82593	641910
456	82772	641715
457	82958	641568
458	83145	641437
459	83333	641303
460	83502	641028
461	83668	640733
462	83851	640565
463	84059	640594
464	84262	640572
465	84451	640452
466	84638	640314
467	84838	640277
468	85028	640160
469	85205	639949
470	85393	639815
471	85574	639632
472	85753	639436
473	85941	639301
474	86136	639224
475	86313	639008
476	86504	638897
477	86683	638702
478	86882	638648
479	87080	638593
480	87268	638453
481	87458	638338
482	87656	638280
483	87830	638044
484	88031	638002
485	88245	638051
486	88443	637991
487	88623	637801
488	88816	637699
489	89005	637570
490	89204	637513
491	89388	637347
492	89590	637308
493	89773	637138
494	89970	637063
495	90153	636891
496	90351	636821
497	90531	636626
498	90736	636607
499	90925	636478
500	91121	636397
501	91320	636334
502	91528	636328
503	91736	636329
504	91948	636357
505	92152	636323
506	92373	636410
507	92586	636438
508	92786	636379
509	92997	636396
510	93228	636541
511	93431	636502
512	93628	636421
513	93831	636377
514	94040	636371
515	94232	636249
516	94438	636227
517	94631	636111
518	94841	636111
519	95030	635971
520	95239	635964
521	95454	635994
522	95656	635940
523	95856	635870
524	96052	635778
525	96264	635784
526	96467	635732
527	96662	635631
528	96854	635503
529	97045	635374
530	97234	635229
531	97441	635201
532	97641	635128
533	97850	635110
534	98067	635149
535	98280	635156
536	98486	635118
537	98702	635146
538	98909	635112
539	99112	635055
540	99313	634981
541	99514	634912
542	99729	634927
543	99920	634788
544	100130	634770
545	100330	634692
546	100530	634611
547	100721	634472
548	100931	634453
549	101120	634300
550	101334	634307
551	101524	634158
552	101706	633963
553	101899	633838
554	102113	633836
555	102317	633778
556	102498	633574
557	102715	633597
558	102903	633435
559	103113	633411
560	103291	633188
561	103485	633068
562	103686	632986
563	103885	632892
